action,score,retailer,scraped_name,scraped_price,matched_name,matched_slug,matched_category,product_url
WOULD IGNORE,0%,UltraPC,"ASRock A620M Pro RS",1439.00,"",,,https://www.ultrapc.ma/socket-am5/7358-asrock-a620m-pro-rs.html
WOULD IGNORE,0%,UltraPC,"ASRock A620M Pro RS WiFi",1549.00,"",,,https://www.ultrapc.ma/socket-am5/7392-asrock-a620m-pro-rs-wifi.html
WOULD IGNORE,0%,UltraPC,"ASRock A620M-HDV/M.2",1299.00,"",,,https://www.ultrapc.ma/socket-am5/7245-asrock-a620m-hdv-m2.html
WOULD IGNORE,0%,UltraPC,"ASRock A620M-HDV/M.2+",1169.00,"",,,https://www.ultrapc.ma/socket-am5/7359-asrock-a620m-hdv-m2.html
WOULD MAP,100%,UltraPC,"ASRock AMD Radeon RX 9070 XT Steel Legend 16Go GDDR6",9599.00,"AMD Radeon RX 9070 XT",amd-rx-9070-xt,gpu,https://www.ultrapc.ma/amd/10300-asrock-amd-radeon-rx-9070-xt-steel-legend-16gb.html
WOULD MAP,100%,UltraPC,"ASRock AMD Radeon RX 9070 XT Steel Legend 16Go GDDR6  (Sans emballage)",9599.00,"AMD Radeon RX 9070 XT",amd-rx-9070-xt,gpu,https://www.ultrapc.ma/amd/10950-asrock-amd-radeon-rx-9070-xt-steel-legend-16gb-sans-emballage.html
WOULD MAP,100%,UltraPC,"ASRock B550 Phantom Gaming 4",1199.00,"MSI B550-A PRO",msi-b550-a-pro,motherboard,https://www.ultrapc.ma/socket-am4/7208-asrock-b550-phantom-gaming-4.html
WOULD IGNORE,0%,UltraPC,"ASRock B550M Phantom Gaming 4",1099.00,"",,,https://www.ultrapc.ma/socket-am4/11620-asrock-b550m-phantom-gaming-4.html
WOULD IGNORE,0%,UltraPC,"ASRock B550M-HDV",949.00,"",,,https://www.ultrapc.ma/socket-am4/7246-asrock-b550m-hdv.html
WOULD MAP,100%,UltraPC,"ASRock B650 LiveMixer",2589.00,"ASUS ASUS ROG STRIX B650-A",asus-asus-rog-strix-b650-a,motherboard,https://www.ultrapc.ma/socket-am5/7360-asrock-b650-livemixer.html
WOULD MAP,100%,UltraPC,"ASRock B650 PG Lightning",1999.00,"ASUS ASUS ROG STRIX B650-A",asus-asus-rog-strix-b650-a,motherboard,https://www.ultrapc.ma/socket-am5/7361-asrock-b650-pg-lightning.html
WOULD MAP,100%,UltraPC,"ASRock B650 Pro RS",2489.00,"ASUS ASUS ROG STRIX B650-A",asus-asus-rog-strix-b650-a,motherboard,https://www.ultrapc.ma/socket-am5/7362-asrock-b650-pro-rs.html
WOULD MAP,100%,UltraPC,"ASRock B650E PG Riptide WiFi",2989.00,"ASRock B650E PG Riptide WiFi",asrock-b650e-pg-riptide-wifi,motherboard,https://www.ultrapc.ma/socket-am5/7367-asrock-b650e-pg-riptide-wifi.html
WOULD MAP,100%,UltraPC,"ASRock B650E PG-ITX WiFi",3489.00,"ASRock B650E PG Riptide WiFi",asrock-b650e-pg-riptide-wifi,motherboard,https://www.ultrapc.ma/socket-am5/7363-asrock-b650e-pg-itx-wifi.html
WOULD MAP,100%,UltraPC,"ASRock B650E Steel Legend WiFi",3139.00,"ASRock B650E PG Riptide WiFi",asrock-b650e-pg-riptide-wifi,motherboard,https://www.ultrapc.ma/socket-am5/7368-asrock-b650e-steel-legend-wifi.html
WOULD MAP,100%,UltraPC,"ASRock B650E Taichi",5389.00,"ASRock B650E PG Riptide WiFi",asrock-b650e-pg-riptide-wifi,motherboard,https://www.ultrapc.ma/socket-am5/7364-asrock-b650e-taichi.html
WOULD MAP,100%,UltraPC,"ASRock B650E Taichi Lite",3789.00,"ASRock B650E PG Riptide WiFi",asrock-b650e-pg-riptide-wifi,motherboard,https://www.ultrapc.ma/socket-am5/7365-asrock-b650e-taichi-lite.html
WOULD IGNORE,0%,UltraPC,"ASRock B650M PG Lightning",1599.00,"",,,https://www.ultrapc.ma/socket-am5/11759--asrock-b650m-pg-lightning.html
WOULD IGNORE,0%,UltraPC,"ASRock B650M PG Lightning",1439.00,"",,,https://www.ultrapc.ma/socket-am5/7370-asrock-b650m-pg-lightning.html
WOULD IGNORE,0%,UltraPC,"ASRock B650M PG Lightning WiFi",1789.00,"",,,https://www.ultrapc.ma/socket-am5/7371-asrock-b650m-pg-lightning-wifi.html
